Date,Round,Venue,Opponent,GF,GA
14-09-2010,Group stage,Home,Panathinaikos,5,1
29-09-2010,Group stage,Away,Rubin Kazan,1,1
20-10-2010,Group stage,Home,FC Copenhagen,2,0
02-11-2010,Group stage,Away,FC Copenhagen,1,1
24-11-2010,Group stage,Away,Panathinaikos,3,0
07-12-2010,Group stage,Home,Rubin Kazan,2,0
16-02-2011,Round of 16,Away,Arsenal,1,2
08-03-2011,Round of 16,Home,Arsenal,3,1
06-04-2011,Quarter-finals,Home,Shakhtar,5,1
12-04-2011,Quarter-finals,Away,Shakhtar,1,0
27-04-2011,Semi-finals,Away,Real Madrid,2,0
03-05-2011,Semi-finals,Home,Real Madrid,1,1
28-05-2011,Final,Neutral,Manchester Utd,3,1
