Date,Round,Venue,Opponent,GF,GA,Poss%,Shots_For,SoT_For,xG_For,xA_For,KP_For,Shots_Against,SoT_Against,xG_Against,Pass_Cmp%_For,Prog_Dist_For,Tackles_Won_For,Interceptions_For
18/09/2018,Group stage,Home,Paris S-G,3,2,53,16,6,1.6,1.1,12,9,5,0.8,80.1,8101,18,24
03/10/2018,Group stage,Away,Napoli,0,1,43,4,0,0.1,0,1,14,5,1.9,79.5,7864,14,21
24/10/2018,Group stage,Home,Red Star,4,0,65,19,9,5,3.2,16,4,0,0.5,80.3,9897,26,30
06/11/2018,Group stage,Away,Red Star,0,2,72,23,4,2.2,1.7,20,10,4,0.7,79.3,9881,5,12
28/11/2018,Group stage,Away,Paris S-G,1,2,56,7,0,1.3,0.3,4,12,8,1.5,82.1,7954,19,27
11/12/2018,Group stage,Home,Napoli,1,0,48,23,5,3,3.1,22,8,3,1.2,78.2,7796,19,28
19/02/2019,Round of 16,Home,Bayern Munich,0,0,49,15,2,2.1,1.1,10,9,0,0.4,76.7,7216,17,27
13/03/2019,Round of 16,Away,Bayern Munich,3,1,42,10,6,1.1,1,7,7,2,0.3,72.1,5899,19,36
09/04/2019,Quarter-finals,Home,Porto,2,0,64,15,3,2.3,1.7,11,8,3,0.8,81.7,10489,23,33
17/04/2019,Quarter-finals,Away,Porto,4,1,49,13,5,3.5,3.6,12,19,8,1,74.4,6630,23,33
01/05/2019,Semi-finals,Away,Barcelona,0,3,52,15,3,1.8,1.1,10,12,5,2.4,81.6,8510,17,28
07/05/2019,Semi-finals,Home,Barcelona,4,0,42,13,7,2.3,1.8,9,8,5,1.4,76,6299,16,27
01/06/2019,Final,Neutral,Tottenham,2,0,36,13,2,1.3,0.4,8,16,8,0.8,61.9,3887,10,14
