Date,Round,Venue,Opponent,GF,GA,Poss%,Shots_For,SoT_For,xG_For,xA_For,KP_For,Shots_Against,SoT_Against,xG_Against,Pass_Cmp%_For,Prog_Dist_For,Tackles_Won_For,Interceptions_For
06/09/2022,Group stage,Away,Sevilla,4,0,61,24,9,3.6,3.5,22,6,1,0.3,94.1,2811,12,21
14/09/2022,Group stage,Home,Dortmund,2,1,66,12,3,1,0.9,10,5,2,0.7,87.1,12228,15,23
05/10/2022,Group stage,Home,FC Copenhagen,5,0,75,29,15,4.3,2.1,22,2,0,0.4,92,13799,6,14
11/10/2022,Group stage,Away,FC Copenhagen,0,0,59,13,3,1.6,0.6,10,6,1,0.3,88.2,10006,11,15
25/10/2022,Group stage,Away,Dortmund,0,0,73,7,2,1.2,0.4,7,11,4,1.2,91.2,12672,19,32
02/11/2022,Group stage,Home,Sevilla,3,1,61,21,7,2,1.8,17,7,2,0.4,88.6,10772,9,13
22/02/2023,Round of 16,Away,RB Leipzig,1,1,62,12,3,1.2,1.1,11,7,4,0.8,89.5,12121,13,18
14/03/2023,Round of 16,Home,RB Leipzig,7,0,66,22,14,4.2,1.8,16,4,1,0.6,88.8,10945,8,14
11/04/2023,Quarter-finals,Home,Bayern Munich,3,0,44,17,9,1.8,1.4,14,12,4,0.9,79.7,6756,29,35
19/04/2023,Quarter-finals,Away,Bayern Munich,1,1,42,6,2,1.3,0.6,6,18,5,2.2,84.3,6762,13,20
09/05/2023,Semi-finals,Away,Real Madrid,1,1,55,10,6,0.5,0.5,9,13,4,0.7,88.1,9095,16,22
17/05/2023,Semi-finals,Home,Real Madrid,4,0,59,16,8,2.8,2.7,14,7,3,0.5,87.8,9480,17,20
10/06/2023,Final,Neutral,Inter,1,0,55,7,4,1,0.8,6,14,5,1.7,84.4,8411,12,22
